IsBadBuy,VehicleAge,WheelType,DifAquiredAvg_CurAvgAuction,DifAquiredAboveAvg_CurAboveAvgRetail,DifAquiredAvg_CurAvgRetail,DifAquiredAboveAvg_CurAboveAvgAuction,AdjVehOd
0,8,Covers,-95,-75,-91,-123,9709
0,7,Alloy,9,28,13,-4,8412
0,4,Covers,-308,-101,-243,-301,15889
1,7,Alloy,82,158,65,107,12860
0,5,Alloy,-217,-136,-153,-233,17941
0,6,Alloy,-6,14,24,-4,10751
1,5,Alloy,161,192,92,298,15102
0,4,Alloy,45,173,133,56,20152
1,9,Alloy,-41,-118,-103,-51,10617
0,3,Covers,-144,-219,-45,-156,11932
0,4,Alloy,-5,-35,-32,10,20875
0,3,Alloy,-123,280,130,-226,23382
0,4,Covers,-58,-144,-46,-18,19013
0,4,Alloy,-205,-249,-244,-164,18119
0,5,Covers,-100,-173,-167,-85,16908
0,5,Alloy,-253,-285,-268,-276,12216
1,9,Alloy,-124,-122,-100,-140,9609
0,4,Covers,-93,-98,-40,-119,10974
0,4,Alloy,-84,-9,-27,-105,14334
1,7,NULL,-36,-69,-37,-49,8489
0,5,Covers,-92,38,-213,131,15991
0,7,Alloy,-108,7,-11,-101,11222
0,3,Alloy,-288,117,-248,-187,16128
0,7,Alloy,-220,-236,-235,-205,11445
0,6,Alloy,-60,125,-82,-45,10965
0,5,Covers,-83,-255,-124,-167,10229
0,6,Alloy,10,59,55,7,14727
0,5,Alloy,-194,104,-95,-167,11181
0,5,Alloy,96,345,253,138,17340
0,4,Alloy,-53,249,40,-22,20356
0,6,Covers,-174,-209,-237,-203,10896
0,6,Alloy,-125,117,-36,-58,12492
0,8,Alloy,-141,-34,-96,-137,6166
0,7,Covers,-80,-40,-60,-91,10544
0,3,Covers,-225,-50,-77,-187,14470
0,6,Alloy,14,-26,6,-22,13068
0,6,Alloy,-195,-153,-161,-146,12337
1,8,Alloy,-114,-69,-101,-114,8102
0,6,Alloy,-143,-94,-77,-184,13415
0,5,Covers,0,43,222,-139,17000
0,4,Covers,-95,-41,-123,-54,16427
0,5,Alloy,-144,-223,-96,-182,11212
0,4,Covers,-258,-234,-280,-239,15557
0,3,Covers,-67,115,104,-100,20730
0,5,Covers,-114,-185,-144,-117,13485
0,6,Alloy,-51,232,121,-33,12634
0,5,Covers,-2,39,118,-34,17798
0,3,Alloy,-1011,-1141,-851,-969,29949
0,4,Alloy,-88,-432,-187,-246,20334
0,5,Alloy,-57,-108,9,-91,16015
0,8,Covers,-4,256,111,-42,9654
0,5,Alloy,-39,81,55,1,13336
0,9,Covers,-40,-27,-11,-47,9169
0,3,Covers,33,193,278,170,27310
0,4,Alloy,445,144,413,131,18532
0,7,Covers,7,52,4,42,10345
0,3,Covers,-82,44,-49,-34,21372
0,5,Alloy,-100,-107,-42,-130,14284
0,6,Covers,-34,49,9,-65,10775
0,5,Alloy,-84,-161,-110,-116,17077
0,6,Covers,32,161,163,18,15907
0,4,Alloy,239,184,351,225,17334
0,3,Covers,51,125,71,29,15521
0,6,Alloy,-164,-210,-207,-164,14150
0,3,Alloy,-122,-122,-34,-197,23687
0,4,Covers,-105,-54,-5,-107,20249
0,3,Alloy,-726,-942,-763,-872,22181
0,6,Alloy,118,61,117,67,11297
0,3,Alloy,-110,19,15,-157,23984
0,4,Alloy,127,142,11,129,17685
0,7,Covers,38,-41,52,17,13474
0,5,Alloy,181,205,269,121,13888
0,5,Covers,4,132,74,-32,10853
1,7,NULL,0,0,0,0,8438
0,6,Covers,178,244,252,206,14338
0,6,Alloy,-7,-23,-26,-4,10779
0,7,Alloy,23,17,52,22,9839
1,7,Alloy,32,10,-23,76,9222
0,5,Alloy,454,59,350,436,14797
0,4,Covers,40,18,1,58,5970
0,3,Covers,177,59,235,213,16844
1,5,Covers,70,21,23,41,12110
0,7,Alloy,105,70,151,114,13079
1,9,Alloy,-48,-2,-23,-62,7041
0,6,Alloy,13,-35,33,-7,9898
0,3,Covers,-36,169,32,-43,14789
0,5,Covers,132,353,213,122,8903
0,9,Alloy,36,29,47,16,9248
0,8,Alloy,27,74,41,0,11566
0,3,Covers,182,-198,64,-154,22721
0,6,Alloy,43,307,208,3,14629
0,9,Alloy,23,71,73,-17,9601
0,4,Alloy,205,601,488,51,9035
0,6,Covers,62,-9,3,51,13464
0,5,Alloy,-54,-126,-55,-66,18669
1,3,Covers,68,39,28,56,24654
0,3,Covers,202,80,62,196,22727
0,5,Alloy,122,152,112,71,12967
0,8,Alloy,-27,-31,-11,-50,9435
0,6,Alloy,-116,-81,-70,-71,9881
0,4,Covers,35,-383,-159,0,15787
0,5,Alloy,-89,-135,-72,-204,9339
0,7,Alloy,11,-53,-5,-45,8413
0,5,Covers,-9,-65,77,-98,13072
0,8,Alloy,-19,17,-22,-29,9404
0,4,Alloy,59,-3,39,3,21260
0,4,Covers,165,75,94,104,21925
0,7,Alloy,50,166,112,90,13259
0,7,Covers,112,59,-30,150,13888
0,5,Covers,69,-5,63,17,14745
0,5,Covers,188,178,112,190,9510
0,6,Covers,136,209,161,196,10513
0,6,Covers,34,555,300,55,10677
0,7,Alloy,28,93,-6,16,12575
0,5,Covers,53,42,89,51,16432
0,4,Covers,127,172,24,137,21190
0,5,Covers,47,107,8,4,10422
0,3,Covers,33,11,4,57,16631
0,7,Alloy,60,29,40,37,13254
0,4,Covers,105,98,88,143,11500
1,6,Covers,151,79,184,178,10498
1,6,Alloy,7,-49,-59,-9,13165
0,4,Alloy,59,0,-74,49,16114
1,6,Covers,110,-158,23,81,10087
1,8,Alloy,-80,19,-1,-116,9215
0,4,Alloy,210,257,258,288,17803
0,6,Alloy,159,46,66,145,10088
0,5,Alloy,220,91,224,152,13339
0,4,Alloy,119,-73,-23,102,22257
0,4,Covers,-178,-174,-160,-133,9106
0,5,Alloy,111,-218,-77,163,11764
0,5,Alloy,-147,-58,-50,-71,14518
0,4,Alloy,288,249,229,198,19753
0,8,Alloy,45,98,35,81,11083
0,4,Covers,94,148,28,146,14624
0,5,Alloy,125,-99,-28,219,19005
0,2,Covers,-24,-539,-379,-230,25322
0,4,Alloy,5,-133,-85,45,22208
0,7,Covers,22,33,83,21,9720
0,3,Alloy,133,-112,0,47,19461
0,3,Covers,200,49,133,178,26428
0,6,Alloy,121,84,97,142,13484
0,6,Alloy,49,25,-50,56,15668
0,8,Alloy,114,310,192,171,10859
0,3,Covers,42,0,-52,125,20439
0,6,Covers,201,74,135,180,13222
0,7,Covers,11,17,-13,12,13271
0,5,Alloy,45,277,159,64,11960
0,5,Alloy,145,-8,59,-11,15021
0,7,Covers,48,-44,34,39,9670
0,5,Alloy,-69,-272,-104,-264,10077
0,5,Covers,112,-107,-50,47,11690
0,4,Special,125,40,51,46,18767
0,4,Alloy,74,49,-55,50,18467
0,3,Covers,303,-47,86,121,14511
0,4,Covers,8,-65,-149,26,13920
0,5,Covers,38,108,87,43,11736
0,4,NULL,146,530,409,437,15698
0,6,NULL,-43,-160,-141,-69,12863
1,5,NULL,94,-98,72,104,13886
0,4,NULL,-35,-158,-175,-18,21616
0,4,NULL,157,169,-3,170,17370
0,7,NULL,35,26,-16,88,12334
0,8,NULL,33,-199,-78,32,9878
0,8,NULL,118,166,123,179,11813
0,4,Alloy,116,-9,102,36,19446
0,5,Covers,91,406,209,99,13486
0,6,Alloy,72,104,83,82,12234
0,3,Covers,105,366,252,234,20067
0,3,Covers,399,34,199,369,16432
1,4,Alloy,76,22,168,27,15328
0,4,Alloy,158,317,243,102,21113
0,5,Covers,-141,312,-99,28,17052
0,2,Alloy,127,-9,273,67,36496
0,5,Covers,174,152,115,182,17953
0,5,Covers,129,192,255,145,13710
0,4,Covers,103,377,377,212,15738
0,5,Covers,4,-44,-116,18,15020
0,5,Alloy,-78,-459,-161,-290,17634
0,4,Covers,154,113,150,158,13197
0,5,Alloy,72,228,-78,45,17066
0,3,Covers,-54,21,-2,-31,23010
0,5,Alloy,233,0,198,188,12911
0,9,Alloy,74,115,45,110,7381
0,5,Covers,52,-286,-120,54,15410
0,4,Covers,59,8,-14,95,21097
0,4,Alloy,-54,-5,4,-122,13216
0,7,Covers,-32,-11,-90,-19,6525
0,3,Covers,253,288,214,231,21165
1,9,NULL,0,0,0,0,8732
0,8,Covers,26,24,51,23,11674
0,4,Covers,95,-61,104,58,13365
0,6,Alloy,244,345,278,280,13846
0,6,Alloy,115,36,77,158,12193
0,4,Alloy,110,-105,-31,67,18789
0,5,Covers,8,-109,-58,-46,14703
0,6,Covers,17,-22,99,-52,10909
0,9,Alloy,31,-25,0,-4,10310
0,6,Alloy,11,119,-44,32,13711
0,5,Covers,-24,242,36,-36,17744
0,5,Covers,-56,-60,-29,-39,14404
0,5,Covers,73,20,16,21,15476
0,4,Covers,86,-11,7,29,12693
0,5,Covers,2,232,-8,-4,11785
0,8,Alloy,-28,-70,-43,-27,9987
0,4,Covers,-98,-26,-211,-88,22943
0,6,Alloy,102,-24,41,75,10378
1,4,Covers,83,41,-46,68,16642
1,3,Covers,105,154,39,118,21026
0,8,Alloy,-23,-79,-92,-34,10269
0,6,Covers,87,-92,44,69,10056
0,5,Alloy,166,140,200,99,18594
0,5,Alloy,-238,-326,-377,-195,14994
0,3,Alloy,134,67,172,60,20744
1,6,Alloy,0,30,4,0,13180
0,7,Covers,-32,111,-44,29,7965
0,3,Covers,265,254,224,255,17880
0,3,Alloy,149,161,60,262,24610
0,3,Covers,148,27,39,172,29509
0,6,Covers,-17,-6,-8,-13,15678
0,3,Covers,-53,-21,-13,-61,12945
1,3,Covers,161,235,322,134,29814
0,6,Covers,85,282,106,106,16263
0,4,Covers,136,153,104,212,21473
0,3,Alloy,175,-111,123,-190,17591
0,2,Covers,-32,9,66,-201,26772
0,4,Covers,63,247,248,91,17086
0,4,Covers,115,66,53,84,19927
0,6,Covers,15,-1,38,-22,13225
0,4,Alloy,3,-101,-98,15,17806
0,5,Alloy,-51,-99,-146,-16,8759
0,2,Covers,-104,63,-237,-48,39993
0,8,Alloy,58,53,66,56,9204
0,6,Covers,48,209,172,67,12449
0,4,Covers,251,-232,6,197,21087
0,5,Covers,92,188,155,107,13980
0,2,Covers,2,-108,228,-90,35261
0,4,Covers,38,147,154,14,15977
0,4,Alloy,79,-178,-131,32,13433
1,2,NULL,-27,-294,-195,-12,25644
0,5,Covers,175,359,386,157,8302
0,6,Alloy,-280,-170,-205,-247,11834
0,3,Covers,-17,139,168,13,12839
0,2,Covers,797,746,946,618,25274
0,8,Alloy,73,24,52,104,9317
0,6,Covers,-68,43,-46,-65,12815
0,3,Covers,-37,-377,177,-198,21407
0,6,Covers,61,-147,4,64,12925
0,4,Covers,78,-68,102,68,22769
0,4,Alloy,91,279,160,258,18071
0,5,Covers,242,294,256,276,17300
0,2,Alloy,-348,-217,-262,-411,35878
0,6,Alloy,-137,-320,-324,-177,15477
0,2,Covers,-72,318,37,76,39877
0,8,Alloy,-70,42,-19,-115,11862
0,4,Covers,-6,28,-183,202,21612
1,7,Alloy,157,182,117,215,10610
0,1,Alloy,-206,227,-20,-215,79732
1,3,Alloy,165,13,-6,163,15851
0,6,Alloy,-74,91,-95,-42,15413
0,2,Covers,108,-269,170,-52,44021
0,4,Alloy,-149,-89,-1,-205,24578
0,7,Covers,-98,-61,-102,-98,11777
0,4,Covers,128,86,9,195,24398
0,2,Covers,9,400,436,90,27348
1,2,Covers,84,77,267,10,30592
0,5,Alloy,-50,107,-8,-61,14231
0,1,Covers,-1486,-1291,-837,-1893,80120
0,6,Covers,73,42,70,42,12855
0,3,Covers,-119,50,42,-62,31401
0,2,Covers,-278,53,-486,-62,24704
0,2,Covers,234,-108,70,-77,16356
0,6,Alloy,-189,-2,-279,84,13407
0,1,Alloy,-1037,-824,-743,-1207,60559
0,5,Alloy,-79,57,17,-123,17890
0,5,Alloy,94,58,135,52,19464
0,2,Alloy,-329,-140,-152,-487,31728
0,6,Covers,5,111,44,45,14577
0,4,Alloy,7,15,84,-114,22767
0,3,Alloy,89,116,125,63,23343
1,1,Alloy,-498,443,290,-516,62846
0,2,Covers,-304,-82,-61,-470,22140
0,6,Alloy,-48,-45,-175,-36,10010
0,7,Alloy,-46,-115,-78,-111,7503
0,3,Alloy,116,193,158,102,28347
0,5,Alloy,252,76,267,90,16627
0,5,Alloy,-25,-95,-165,30,21467
0,3,Covers,44,264,266,56,25632
0,4,Special,-92,43,41,-157,17413
0,4,Covers,115,128,259,31,18546
0,5,Alloy,-38,35,24,17,15201
0,6,Alloy,9,-17,93,-62,12646
0,5,Alloy,-57,-64,-24,-37,8887
0,4,Covers,-43,-89,-91,-57,21959
0,4,Alloy,69,48,211,133,20561
0,4,Alloy,-162,-92,-159,-118,16570
0,5,Alloy,44,77,42,28,17680
1,7,Special,-66,-8,-14,-66,10950
0,2,Covers,-71,-189,-141,-116,30443
0,3,Covers,139,230,225,90,25313
0,4,Covers,-194,-173,-83,-227,14009
0,6,Alloy,69,86,66,104,8182
0,2,Covers,-719,-442,-632,-706,25563
0,4,Alloy,87,383,217,230,19424
0,5,Alloy,-167,-130,-120,-182,14443
1,7,Alloy,-31,-35,-67,-40,12286
0,9,Covers,-5,47,25,-10,5224
0,3,Covers,-115,-55,-70,-149,22250
0,3,Alloy,-255,-299,-147,-269,25455
0,4,Covers,161,288,241,236,24589
0,4,Covers,-96,309,57,12,17580
0,3,Covers,45,-52,-190,52,29700
0,7,Alloy,-75,-47,-42,-98,10220
0,2,Covers,213,51,181,36,36701
0,7,Alloy,-18,-29,-48,-82,13986
0,4,Alloy,-213,-319,-175,-235,8167
0,4,Covers,43,-174,8,-93,22354
0,2,Covers,-1093,-589,-1064,-960,17827
0,3,Covers,-66,1,126,-132,13636
0,5,Alloy,43,-21,20,104,14173
0,2,Covers,272,122,183,131,25562
0,8,Alloy,-24,4,-17,-9,10792
0,2,Covers,272,575,505,444,27210
0,9,Alloy,-35,-21,-13,-29,5606
0,3,Covers,-259,-158,-208,-281,27215
0,6,Alloy,54,147,78,108,12880
0,4,Covers,-356,-323,-219,-293,15403
0,3,Covers,-147,380,181,-261,25953
0,5,Covers,-38,-39,-63,-60,15331
0,1,Alloy,271,18,804,-199,56849
0,4,Covers,-128,-46,109,-187,21186
0,2,Alloy,-722,-157,-337,-770,36045
0,2,Alloy,52,-95,184,-356,41410
0,7,Alloy,23,89,29,66,11477
0,6,Covers,-8,-83,-56,-34,17968
0,5,Covers,-123,-124,0,-140,22011
0,5,Alloy,-86,-166,-45,-265,13341
0,5,Alloy,-4,-107,71,-23,10952
0,2,Covers,-64,-125,-100,-115,36996
0,4,Alloy,-101,-108,23,-203,16948
0,5,Covers,-14,142,58,76,14317
0,3,Alloy,427,338,1050,110,25010
0,5,Alloy,-275,-298,-320,-303,16523
0,4,Alloy,-228,-188,-99,-296,15579
0,7,Covers,-54,-12,-77,-35,11556
0,6,Special,-64,-45,-60,-84,12524
0,4,Alloy,-31,-488,-99,-332,19178
0,6,Alloy,-24,-4,-99,6,13534
0,4,Alloy,-163,15,-75,-131,13697
0,3,Covers,-37,-310,-369,-76,28823
0,7,Alloy,24,34,-36,-7,12137
1,2,NULL,-305,-557,-368,-485,39546
0,7,Alloy,-58,0,14,-53,10175
0,5,Covers,-51,140,-78,-38,5166
1,7,Covers,19,40,22,4,9162
1,4,NULL,107,-177,58,-124,16101
0,5,Covers,103,147,24,165,13548
0,5,Alloy,-223,-346,-216,-429,19469
0,4,Alloy,362,-346,175,138,23763
0,6,Alloy,-108,-176,-178,-72,10657
0,5,Covers,-111,-6,-211,-132,16542
0,2,Alloy,533,520,653,233,41005
0,5,Covers,283,540,258,461,14047
0,5,Alloy,110,219,94,170,13339
0,5,Covers,-110,-311,-182,-99,17299
0,4,Alloy,-77,-15,-83,-14,15632
0,3,Covers,-72,-57,-77,-53,22824
0,4,Alloy,68,153,74,141,10139
0,6,Alloy,56,-40,61,-37,11657
0,5,Alloy,0,0,0,0,16367
1,6,NULL,0,0,0,0,14271
0,5,Alloy,255,-68,-225,361,10658
1,4,Alloy,70,63,76,58,20132
0,4,Alloy,227,232,245,215,18394
0,5,Alloy,47,75,50,70,12304
1,7,NULL,0,0,0,0,9197
1,4,Covers,83,78,90,72,20501
0,6,Alloy,175,-214,-296,178,15942
0,2,Alloy,-232,-290,-251,-268,23831
1,7,Covers,-110,-149,-119,-138,10030
1,3,NULL,0,0,0,0,29746
1,3,Covers,352,336,380,311,29916
0,3,Covers,-177,-203,-191,-188,15197
0,2,Covers,-159,-260,-172,-241,25305
0,2,Covers,417,322,450,298,27922
0,4,Covers,-71,-94,-77,-87,15526
0,2,Covers,20,91,22,84,29101
0,2,Covers,-179,-129,-193,-119,32855
0,4,Alloy,-113,-87,-122,-81,22088
0,3,Alloy,829,437,60,1106,25892
0,3,Covers,378,571,409,528,20737
0,3,Alloy,-59,-122,-64,-113,25434
1,5,NULL,9,50,9,46,14746
1,5,Covers,-4,6,-4,5,18377
1,6,Covers,-66,-90,-72,-83,7706
0,4,Alloy,375,556,405,515,17205
0,3,Alloy,201,-825,-727,193,19878
0,5,Covers,11,33,12,31,14085
0,3,Covers,-128,-126,-138,-117,21253
1,6,NULL,-5,-17,-6,-15,14696
1,7,Covers,8,-16,8,-15,10787
0,3,Covers,78,173,84,160,20375
0,7,Covers,-16,-3,-18,-3,10590
1,6,Alloy,17,-28,18,-26,11798
0,5,Alloy,-399,-600,-431,-555,12567
0,4,Covers,0,17,0,16,18908
0,5,Alloy,-23,-83,-25,-77,19403
0,2,Alloy,-205,-211,-222,-195,34985
0,2,Covers,756,1012,816,937,31514
0,4,Alloy,465,-354,-529,458,20176
0,3,Alloy,-155,-267,-168,-247,16598
0,4,Covers,119,123,128,114,19858
0,4,Covers,-22,6,-24,6,14169
1,5,NULL,0,0,0,0,13677
0,5,Covers,93,-392,-411,92,11218
0,8,Alloy,7,16,8,15,11009
1,3,Covers,-76,-66,-82,-61,17071
1,4,NULL,0,0,0,0,18520
0,5,Alloy,470,648,507,600,10911
1,2,NULL,0,0,0,0,36017
1,3,Covers,-81,-92,-88,-85,20019
0,5,Covers,13,46,14,42,11197
1,2,Alloy,29,-29,32,-27,33289
1,5,Covers,48,55,52,51,16372
1,5,Covers,34,71,37,66,14738
0,4,Covers,81,157,88,145,13630
1,4,NULL,0,0,0,0,19364
1,4,Covers,150,253,162,234,13572
0,6,Alloy,166,140,180,130,13084
0,2,Covers,-97,-271,-105,-251,31854
0,3,Covers,-62,-170,-67,-157,24461
1,6,NULL,0,0,0,0,9011
0,6,Covers,-53,-96,-58,-89,15107
1,6,NULL,0,0,0,0,11567
0,6,Alloy,18,-395,-378,41,13017
0,8,Alloy,-11,-8,-12,-8,5589
0,4,Alloy,281,200,303,185,16014
0,8,Alloy,-5,0,-5,0,9784
0,5,Alloy,195,-473,-468,250,17574
1,6,NULL,0,0,0,0,15305
0,5,Alloy,218,-193,-252,285,17371
0,3,Alloy,213,-570,-615,397,26286
0,4,Covers,0,0,0,0,19708
0,3,Covers,119,183,128,169,19194
0,5,Alloy,316,-124,-242,379,12887
0,6,Alloy,110,163,119,151,11035
0,5,Covers,20,-456,-390,27,15723
0,3,Alloy,626,-323,-404,650,17928
1,6,NULL,0,0,0,0,15479
0,2,Alloy,250,308,270,285,43406
1,6,NULL,0,0,0,0,13730
0,4,Alloy,92,-310,-466,238,15939
1,2,Covers,0,0,0,0,36334
0,5,Covers,0,0,0,0,15642
0,5,Alloy,-27,-82,-29,-76,16597
0,3,Covers,194,-436,-695,409,19632
1,4,NULL,0,0,0,0,18711
1,6,NULL,0,0,0,0,10622
0,5,Alloy,26,31,28,29,14737
0,2,Covers,313,229,338,212,36424
0,6,Alloy,204,231,220,213,15962
0,3,Alloy,355,-285,-571,538,24877
0,2,Covers,245,232,265,214,26581
0,5,Alloy,-83,-721,-637,-49,14361
0,3,Alloy,252,197,272,182,20281
1,6,NULL,0,0,0,0,6565
0,5,Alloy,8,-58,9,-54,14221
0,3,Covers,299,-679,-570,384,24671
1,2,NULL,0,0,0,0,37805
1,8,NULL,0,0,0,0,7125
0,5,Covers,20,13,21,12,11258
0,4,Covers,27,51,29,47,16648
1,3,NULL,0,0,0,0,23408
0,3,Covers,-165,-1316,-1071,-167,16643
1,6,NULL,0,0,0,0,13431
1,3,NULL,0,0,0,0,19144
0,4,Alloy,270,-436,-635,476,15464
0,2,Covers,341,-605,-974,395,32807
0,4,Covers,234,591,362,354,20906
0,4,Alloy,14,39,54,-46,20412
0,3,Covers,219,109,124,229,24077
0,7,Covers,66,59,141,7,5978
1,4,Alloy,3,5,73,-126,15192
0,5,Alloy,42,213,114,38,15683
0,3,Covers,76,159,98,60,26206
0,4,Covers,-17,32,-27,-10,21545
0,3,Alloy,-11,-111,94,-33,27870
1,4,Alloy,-58,-81,-6,-77,20338
0,2,Covers,74,-150,-209,100,28144
1,4,NULL,0,0,0,0,16808
0,6,Covers,45,130,113,28,12435
0,3,Covers,209,63,65,223,22469
1,7,NULL,0,0,0,0,12599
0,5,Covers,42,-29,-42,1,17652
0,4,Covers,8,3,11,-39,12755
0,2,Covers,413,466,424,451,42682
0,6,Alloy,-7,-206,-81,13,11446
0,4,Alloy,196,415,297,232,18578
0,3,Covers,101,75,-70,103,21497
0,4,Covers,-26,-127,-82,-66,13849
0,4,Covers,-18,61,-16,-3,21564
0,6,Covers,-49,-264,-94,-91,13504
0,3,Covers,-150,-166,-84,-231,24513
0,6,Covers,39,68,73,40,9489
1,7,Covers,-27,-407,-146,-118,9507
0,4,Covers,-12,46,-39,-37,8694
0,6,Covers,73,-3,67,32,9149
0,3,Covers,42,-13,19,51,16945
0,4,Covers,108,168,21,110,10924
0,5,Covers,150,100,79,142,13126
0,3,Covers,75,25,-20,66,13459
0,4,Alloy,67,23,31,11,16266
0,4,Alloy,166,-41,-47,102,17224
0,4,Covers,-61,32,-52,-93,20794
0,2,Covers,-10,203,-28,50,29999
0,3,Alloy,120,110,32,97,19026
0,6,Alloy,-45,32,9,-101,13927
0,4,Covers,76,178,13,87,17709
0,2,Covers,101,182,137,165,36274
1,4,Covers,51,120,303,-4,15312
1,5,Alloy,65,138,35,90,15081
0,6,Alloy,21,-218,-128,61,13950
0,5,Alloy,-47,-173,-69,-155,16167
0,6,Alloy,19,-31,-10,15,13170
1,5,NULL,0,0,0,0,12387
0,6,Covers,14,11,47,41,7363
0,5,Covers,-45,-251,-335,-35,16060
0,5,Alloy,163,59,93,99,12754
0,4,Covers,374,308,291,495,13931
0,4,Covers,78,41,-65,105,14656
0,4,Covers,-91,-357,-152,-116,22175
0,6,Covers,10,69,54,59,9376
0,5,Alloy,-1,-89,79,-231,15865
0,4,Alloy,-169,-351,-217,-344,10639
1,5,Alloy,98,-19,-4,71,16932
0,3,Alloy,-186,-291,-42,-285,24053
0,5,Alloy,200,151,145,211,17634
1,5,NULL,0,0,0,0,16512
0,6,Covers,85,266,102,81,10245
0,4,Covers,180,57,37,232,17491
1,5,Alloy,263,91,253,213,13182
1,7,Alloy,71,11,-1,99,6664
0,8,Alloy,194,126,116,164,11806
1,9,Covers,-14,-2,6,-32,7331
0,6,Covers,-130,-159,-141,-135,12498
1,4,NULL,0,0,0,0,21836
0,6,Alloy,77,-191,-123,76,13189
0,5,Covers,68,-22,-62,66,14146
0,4,Covers,65,65,-82,81,17093
0,4,Covers,75,-67,101,29,14594
0,4,Covers,-192,-195,-259,-137,14935
0,5,Covers,240,239,282,190,19525
0,4,Alloy,60,289,117,156,21973
1,5,Alloy,17,-32,-92,72,15240
0,6,Alloy,29,-29,9,18,11642
0,6,Alloy,57,-167,-25,42,12663
0,7,Alloy,4,-258,-57,-42,13914
0,8,Covers,-15,-89,-55,-29,11983
1,5,Alloy,-78,-54,-63,-72,10607
0,7,Alloy,106,163,109,94,10903
0,5,Covers,-9,-106,-106,-20,12307
0,6,Alloy,4,-186,-10,-161,12442
0,5,Covers,-41,-23,-158,-39,16508
0,4,Alloy,15,41,102,-23,15650
0,4,Covers,-91,-123,-188,-49,20033
0,4,Covers,194,118,198,266,15517
0,5,Alloy,4,-7,3,24,15574
0,4,Alloy,190,200,82,292,20317
0,3,Alloy,128,143,140,128,20134
1,5,NULL,0,0,0,0,16299
1,8,NULL,0,10,18,0,11532
0,9,Covers,52,118,46,52,10078
0,4,Alloy,303,342,389,332,17785
0,3,Alloy,-163,-286,-346,-229,25748
0,5,Alloy,-23,-264,-93,-166,19468
0,8,Alloy,33,-14,-51,41,4357
0,9,Alloy,123,102,84,90,9819
0,6,Covers,-73,112,51,-202,5682
1,5,NULL,0,0,0,0,12393
0,4,Covers,61,37,-7,75,17573
0,4,Covers,170,231,136,218,21551
0,5,Covers,114,131,71,143,10451
0,8,Covers,24,22,6,37,9341
0,5,Alloy,167,236,239,239,16613
0,8,Alloy,8,-123,-20,-47,9190
0,8,Alloy,-51,-20,-44,-9,9299
0,3,Covers,-43,-108,31,-93,23719
1,6,Alloy,97,61,10,124,13882
