@relation 'training_edit2-weka.filters.unsupervised.attribute.NumericToNominal-R2-weka.filters.unsupervised.attribute.Remove-R1,3-5,7-13,16-34'

@attribute IsBadBuy {0,1}
@attribute VehicleAge numeric
@attribute WheelType {Alloy,Covers,NULL,Special}
@attribute VehOdo numeric
@attribute DifAquiredAvg_CurAvgAuction numeric
@attribute DifAquiredAboveAvg_CurAboveAvgRetail numeric
@attribute DifAquiredAvg_CurAvgRetail numeric
@attribute DifAquiredAboveAvg_CurAboveAvgAuction numeric
@attribute AdjVehOd numeric

@data
0,9,Covers,82526,-40,-27,-11,-47,9169
0,3,Covers,81930,33,193,278,170,27310
0,4,Alloy,74131,445,144,413,131,18532
0,7,Covers,72417,7,52,4,42,10345
0,3,Covers,64118,-82,44,-49,-34,21372
0,5,Alloy,71423,-100,-107,-42,-130,14284
0,6,Covers,64650,-34,49,9,-65,10775
0,5,Alloy,85388,-84,-161,-110,-116,17077
0,6,Covers,95443,32,161,163,18,15907
0,4,Alloy,69337,239,184,351,225,17334
0,3,Covers,46563,51,125,71,29,15521
0,6,Alloy,84905,-164,-210,-207,-164,14150
0,3,Alloy,71062,-122,-122,-34,-197,23687
0,4,Covers,80999,-105,-54,-5,-107,20249
0,3,Alloy,66545,-726,-942,-763,-872,22181
0,6,Alloy,67785,118,61,117,67,11297
0,3,Alloy,71952,-110,19,15,-157,23984
0,4,Alloy,70741,127,142,11,129,17685
0,7,Covers,94318,38,-41,52,17,13474
0,5,Alloy,69440,181,205,269,121,13888
0,5,Covers,54268,4,132,74,-32,10853
1,7,NULL,59072,0,0,0,0,8438
0,6,Covers,86028,178,244,252,206,14338
0,6,Alloy,64677,-7,-23,-26,-4,10779
0,7,Alloy,68874,23,17,52,22,9839
1,7,Alloy,64554,32,10,-23,76,9222
0,5,Alloy,73988,454,59,350,436,14797
0,4,Covers,23881,40,18,1,58,5970
0,3,Covers,50532,177,59,235,213,16844
1,5,Covers,60554,70,21,23,41,12110
0,7,Alloy,91558,105,70,151,114,13079
1,9,Alloy,63377,-48,-2,-23,-62,7041
0,6,Alloy,59391,13,-35,33,-7,9898
0,3,Covers,44367,-36,169,32,-43,14789
0,5,Covers,44515,132,353,213,122,8903
0,9,Alloy,83238,36,29,47,16,9248
0,8,Alloy,92532,27,74,41,0,11566
0,3,Covers,68165,182,-198,64,-154,22721
0,6,Alloy,87775,43,307,208,3,14629
0,9,Alloy,86414,23,71,73,-17,9601
0,4,Alloy,36142,205,601,488,51,9035
0,6,Covers,80788,62,-9,3,51,13464
0,5,Alloy,93346,-54,-126,-55,-66,18669
1,3,Covers,73963,68,39,28,56,24654
0,3,Covers,68183,202,80,62,196,22727
0,5,Alloy,64839,122,152,112,71,12967
0,8,Alloy,75484,-27,-31,-11,-50,9435
0,6,Alloy,59287,-116,-81,-70,-71,9881
0,4,Covers,63151,35,-383,-159,0,15787
0,5,Alloy,46695,-89,-135,-72,-204,9339
0,7,Alloy,58897,11,-53,-5,-45,8413
0,5,Covers,65363,-9,-65,77,-98,13072
0,8,Alloy,75237,-19,17,-22,-29,9404
0,4,Alloy,85042,59,-3,39,3,21260
0,4,Covers,87701,165,75,94,104,21925
0,7,Alloy,92816,50,166,112,90,13259
0,7,Covers,97221,112,59,-30,150,13888
0,5,Covers,73726,69,-5,63,17,14745
0,5,Covers,47550,188,178,112,190,9510
0,6,Covers,63079,136,209,161,196,10513
0,6,Covers,64064,34,555,300,55,10677
0,7,Alloy,88027,28,93,-6,16,12575
0,5,Covers,82164,53,42,89,51,16432
0,4,Covers,84763,127,172,24,137,21190
0,5,Covers,52113,47,107,8,4,10422
0,3,Covers,49893,33,11,4,57,16631
0,7,Alloy,92782,60,29,40,37,13254
0,4,Covers,46001,105,98,88,143,11500
1,6,Covers,62990,151,79,184,178,10498
1,6,Alloy,78992,7,-49,-59,-9,13165
0,4,Alloy,64458,59,0,-74,49,16114
1,6,Covers,60522,110,-158,23,81,10087
1,8,Alloy,73725,-80,19,-1,-116,9215
0,4,Alloy,71214,210,257,258,288,17803
0,6,Alloy,60530,159,46,66,145,10088
0,5,Alloy,66695,220,91,224,152,13339
0,4,Alloy,89030,119,-73,-23,102,22257
0,4,Covers,36425,-178,-174,-160,-133,9106
0,5,Alloy,58823,111,-218,-77,163,11764
0,5,Alloy,72592,-147,-58,-50,-71,14518
0,4,Alloy,79015,288,249,229,198,19753
0,8,Alloy,88667,45,98,35,81,11083
0,4,Covers,58499,94,148,28,146,14624
0,5,Alloy,95025,125,-99,-28,219,19005
0,2,Covers,50644,-24,-539,-379,-230,25322
0,4,Alloy,88832,5,-133,-85,45,22208
0,7,Covers,68040,22,33,83,21,9720
0,3,Alloy,58384,133,-112,0,47,19461
0,3,Covers,79284,200,49,133,178,26428
0,6,Alloy,80906,121,84,97,142,13484
0,6,Alloy,94011,49,25,-50,56,15668
0,8,Alloy,86875,114,310,192,171,10859
0,3,Covers,61319,42,0,-52,125,20439
0,6,Covers,79333,201,74,135,180,13222
0,7,Covers,92897,11,17,-13,12,13271
0,5,Alloy,59801,45,277,159,64,11960
0,5,Alloy,75108,145,-8,59,-11,15021
0,7,Covers,67696,48,-44,34,39,9670
0,5,Alloy,50385,-69,-272,-104,-264,10077
0,5,Covers,58450,112,-107,-50,47,11690
0,4,Special,75070,125,40,51,46,18767
0,4,Alloy,73870,74,49,-55,50,18467
0,3,Covers,43535,303,-47,86,121,14511
0,4,Covers,55683,8,-65,-149,26,13920
0,5,Covers,58681,38,108,87,43,11736
0,4,NULL,62795,146,530,409,437,15698
0,6,NULL,77178,-43,-160,-141,-69,12863
1,5,NULL,69430,94,-98,72,104,13886
0,4,NULL,86466,-35,-158,-175,-18,21616
0,4,NULL,69480,157,169,-3,170,17370
0,7,NULL,86344,35,26,-16,88,12334
0,8,NULL,79030,33,-199,-78,32,9878
0,8,NULL,94506,118,166,123,179,11813
0,4,Alloy,77786,116,-9,102,36,19446
0,5,Covers,67430,91,406,209,99,13486
0,6,Alloy,73409,72,104,83,82,12234
0,3,Covers,60201,105,366,252,234,20067
0,3,Covers,49296,399,34,199,369,16432
1,4,Alloy,61315,76,22,168,27,15328
0,4,Alloy,84454,158,317,243,102,21113
0,5,Covers,85262,-141,312,-99,28,17052
0,2,Alloy,72993,127,-9,273,67,36496
0,5,Covers,89769,174,152,115,182,17953
0,5,Covers,68550,129,192,255,145,13710
0,4,Covers,62955,103,377,377,212,15738
0,5,Covers,75101,4,-44,-116,18,15020
0,5,Alloy,88173,-78,-459,-161,-290,17634
0,4,Covers,52791,154,113,150,158,13197
0,5,Alloy,85334,72,228,-78,45,17066
0,3,Covers,69030,-54,21,-2,-31,23010
0,5,Alloy,64555,233,0,198,188,12911
0,9,Alloy,66433,74,115,45,110,7381
0,5,Covers,77050,52,-286,-120,54,15410
0,4,Covers,84388,59,8,-14,95,21097
0,4,Alloy,52866,-54,-5,4,-122,13216
0,7,Covers,45680,-32,-11,-90,-19,6525
0,3,Covers,63496,253,288,214,231,21165
1,9,NULL,78593,0,0,0,0,8732
0,8,Covers,93395,26,24,51,23,11674
0,4,Covers,53463,95,-61,104,58,13365
0,6,Alloy,83081,244,345,278,280,13846
0,6,Alloy,73159,115,36,77,158,12193
0,4,Alloy,75157,110,-105,-31,67,18789
0,5,Covers,73516,8,-109,-58,-46,14703
0,6,Covers,65459,17,-22,99,-52,10909
0,9,Alloy,92792,31,-25,0,-4,10310
0,6,Alloy,82271,11,119,-44,32,13711
0,5,Covers,88723,-24,242,36,-36,17744
0,5,Covers,72020,-56,-60,-29,-39,14404
0,5,Covers,77380,73,20,16,21,15476
0,4,Covers,50773,86,-11,7,29,12693
0,5,Covers,58929,2,232,-8,-4,11785
0,8,Alloy,79898,-28,-70,-43,-27,9987
0,4,Covers,91773,-98,-26,-211,-88,22943
0,6,Alloy,62271,102,-24,41,75,10378
1,4,Covers,66568,83,41,-46,68,16642
1,3,Covers,63079,105,154,39,118,21026
0,8,Alloy,82158,-23,-79,-92,-34,10269
0,6,Covers,60340,87,-92,44,69,10056
0,5,Alloy,92974,166,140,200,99,18594
0,5,Alloy,74970,-238,-326,-377,-195,14994
0,3,Alloy,62233,134,67,172,60,20744
1,6,Alloy,79081,0,30,4,0,13180
0,7,Covers,55756,-32,111,-44,29,7965
0,3,Covers,53642,265,254,224,255,17880
0,3,Alloy,73831,149,161,60,262,24610
0,3,Covers,88528,148,27,39,172,29509
0,6,Covers,94071,-17,-6,-8,-13,15678
0,3,Covers,38837,-53,-21,-13,-61,12945
1,3,Covers,89443,161,235,322,134,29814
0,6,Covers,97581,85,282,106,106,16263
0,4,Covers,85894,136,153,104,212,21473
0,3,Alloy,52775,175,-111,123,-190,17591
0,2,Covers,53544,-32,9,66,-201,26772
0,4,Covers,68344,63,247,248,91,17086
0,4,Covers,79708,115,66,53,84,19927
0,6,Covers,79352,15,-1,38,-22,13225
0,4,Alloy,71227,3,-101,-98,15,17806
0,5,Alloy,43795,-51,-99,-146,-16,8759
0,2,Covers,79986,-104,63,-237,-48,39993
0,8,Alloy,73638,58,53,66,56,9204
0,6,Covers,74697,48,209,172,67,12449
0,4,Covers,84349,251,-232,6,197,21087
0,5,Covers,69902,92,188,155,107,13980
0,2,Covers,70523,2,-108,228,-90,35261
0,4,Covers,63908,38,147,154,14,15977
0,4,Alloy,53734,79,-178,-131,32,13433
1,2,NULL,51288,-27,-294,-195,-12,25644
0,5,Covers,41513,175,359,386,157,8302
0,6,Alloy,71005,-280,-170,-205,-247,11834
0,3,Covers,38517,-17,139,168,13,12839
0,2,Covers,50549,797,746,946,618,25274
0,8,Alloy,74538,73,24,52,104,9317
0,6,Covers,76895,-68,43,-46,-65,12815
0,3,Covers,64223,-37,-377,177,-198,21407
0,6,Covers,77552,61,-147,4,64,12925
0,4,Covers,91078,78,-68,102,68,22769
0,4,Alloy,72287,91,279,160,258,18071
0,5,Covers,86500,242,294,256,276,17300
0,2,Alloy,71757,-348,-217,-262,-411,35878
0,6,Alloy,92865,-137,-320,-324,-177,15477
0,2,Covers,79755,-72,318,37,76,39877
0,8,Alloy,94898,-70,42,-19,-115,11862
0,4,Covers,86451,-6,28,-183,202,21612
1,7,Alloy,74273,157,182,117,215,10610
0,1,Alloy,79732,-206,227,-20,-215,79732
1,3,Alloy,47555,165,13,-6,163,15851
0,6,Alloy,92482,-74,91,-95,-42,15413
0,2,Covers,88042,108,-269,170,-52,44021
0,4,Alloy,98315,-149,-89,-1,-205,24578
0,7,Covers,82444,-98,-61,-102,-98,11777
0,4,Covers,97593,128,86,9,195,24398
0,2,Covers,54696,9,400,436,90,27348
1,2,Covers,61184,84,77,267,10,30592
0,5,Alloy,71158,-50,107,-8,-61,14231
0,1,Covers,80120,-1486,-1291,-837,-1893,80120
0,6,Covers,77135,73,42,70,42,12855
0,3,Covers,94203,-119,50,42,-62,31401
0,2,Covers,49408,-278,53,-486,-62,24704
0,2,Covers,32713,234,-108,70,-77,16356
0,6,Alloy,80444,-189,-2,-279,84,13407
0,1,Alloy,60559,-1037,-824,-743,-1207,60559
0,5,Alloy,89452,-79,57,17,-123,17890
0,5,Alloy,97320,94,58,135,52,19464
0,2,Alloy,63456,-329,-140,-152,-487,31728
0,6,Covers,87463,5,111,44,45,14577
0,4,Alloy,91071,7,15,84,-114,22767
0,3,Alloy,70029,89,116,125,63,23343
1,1,Alloy,62846,-498,443,290,-516,62846
0,2,Covers,44281,-304,-82,-61,-470,22140
0,6,Alloy,60060,-48,-45,-175,-36,10010
0,7,Alloy,52526,-46,-115,-78,-111,7503
0,3,Alloy,85042,116,193,158,102,28347
0,5,Alloy,83135,252,76,267,90,16627
0,5,Alloy,107337,-25,-95,-165,30,21467
0,3,Covers,76898,44,264,266,56,25632
0,4,Special,69654,-92,43,41,-157,17413
0,4,Covers,74187,115,128,259,31,18546
0,5,Alloy,76007,-38,35,24,17,15201
0,6,Alloy,75878,9,-17,93,-62,12646
0,5,Alloy,44437,-57,-64,-24,-37,8887
0,4,Covers,87839,-43,-89,-91,-57,21959
0,4,Alloy,82246,69,48,211,133,20561
0,4,Alloy,66282,-162,-92,-159,-118,16570
0,5,Alloy,88400,44,77,42,28,17680
1,7,Special,76650,-66,-8,-14,-66,10950
0,2,Covers,60886,-71,-189,-141,-116,30443
0,3,Covers,75940,139,230,225,90,25313
0,4,Covers,56039,-194,-173,-83,-227,14009
0,6,Alloy,49097,69,86,66,104,8182
0,2,Covers,51127,-719,-442,-632,-706,25563
0,4,Alloy,77697,87,383,217,230,19424
0,5,Alloy,72216,-167,-130,-120,-182,14443
1,7,Alloy,86003,-31,-35,-67,-40,12286
0,9,Covers,47019,-5,47,25,-10,5224
0,3,Covers,66750,-115,-55,-70,-149,22250
0,3,Alloy,76365,-255,-299,-147,-269,25455
0,4,Covers,98358,161,288,241,236,24589
0,4,Covers,70322,-96,309,57,12,17580
0,3,Covers,89100,45,-52,-190,52,29700
0,7,Alloy,71542,-75,-47,-42,-98,10220
0,2,Covers,73402,213,51,181,36,36701
0,7,Alloy,97902,-18,-29,-48,-82,13986
0,4,Alloy,32671,-213,-319,-175,-235,8167
0,4,Covers,89417,43,-174,8,-93,22354
0,2,Covers,35655,-1093,-589,-1064,-960,17827
0,3,Covers,40909,-66,1,126,-132,13636
0,5,Alloy,70868,43,-21,20,104,14173
0,2,Covers,51125,272,122,183,131,25562
0,8,Alloy,86341,-24,4,-17,-9,10792
0,2,Covers,54421,272,575,505,444,27210
0,9,Alloy,50456,-35,-21,-13,-29,5606
0,3,Covers,81646,-259,-158,-208,-281,27215
0,6,Alloy,77281,54,147,78,108,12880
0,4,Covers,61612,-356,-323,-219,-293,15403
0,3,Covers,77861,-147,380,181,-261,25953
0,5,Covers,76659,-38,-39,-63,-60,15331
0,1,Alloy,56849,271,18,804,-199,56849
0,4,Covers,84747,-128,-46,109,-187,21186
0,2,Alloy,72090,-722,-157,-337,-770,36045
0,2,Alloy,82820,52,-95,184,-356,41410
0,7,Alloy,80341,23,89,29,66,11477
0,6,Covers,107810,-8,-83,-56,-34,17968
0,5,Covers,110055,-123,-124,0,-140,22011
0,5,Alloy,66708,-86,-166,-45,-265,13341
0,5,Alloy,54760,-4,-107,71,-23,10952
0,2,Covers,73993,-64,-125,-100,-115,36996
0,4,Alloy,67795,-101,-108,23,-203,16948
0,5,Covers,71585,-14,142,58,76,14317
0,3,Alloy,75031,427,338,1050,110,25010
0,5,Alloy,82617,-275,-298,-320,-303,16523
0,4,Alloy,62316,-228,-188,-99,-296,15579
0,7,Covers,80896,-54,-12,-77,-35,11556
0,6,Special,75149,-64,-45,-60,-84,12524
0,4,Alloy,76712,-31,-488,-99,-332,19178
0,6,Alloy,81209,-24,-4,-99,6,13534
0,4,Alloy,54790,-163,15,-75,-131,13697
0,3,Covers,86471,-37,-310,-369,-76,28823
0,7,Alloy,84963,24,34,-36,-7,12137
1,2,NULL,79092,-305,-557,-368,-485,39546
0,7,Alloy,71227,-58,0,14,-53,10175
0,5,Covers,25830,-51,140,-78,-38,5166
1,7,Covers,64139,19,40,22,4,9162
1,4,NULL,64407,107,-177,58,-124,16101
0,5,Covers,67744,103,147,24,165,13548
0,5,Alloy,97346,-223,-346,-216,-429,19469
0,4,Alloy,95055,362,-346,175,138,23763
0,6,Alloy,63944,-108,-176,-178,-72,10657
0,5,Covers,82712,-111,-6,-211,-132,16542
0,2,Alloy,82010,533,520,653,233,41005
0,5,Covers,70235,283,540,258,461,14047
0,5,Alloy,66699,110,219,94,170,13339
0,5,Covers,86495,-110,-311,-182,-99,17299
0,4,Alloy,62529,-77,-15,-83,-14,15632
0,3,Covers,68473,-72,-57,-77,-53,22824
0,4,Alloy,40556,68,153,74,141,10139
0,6,Alloy,69946,56,-40,61,-37,11657
0,5,Alloy,81835,0,0,0,0,16367
1,6,NULL,85629,0,0,0,0,14271
0,5,Alloy,53292,255,-68,-225,361,10658
1,4,Alloy,80531,70,63,76,58,20132
0,4,Alloy,73576,227,232,245,215,18394
0,5,Alloy,61524,47,75,50,70,12304
1,7,NULL,64381,0,0,0,0,9197
1,4,Covers,82007,83,78,90,72,20501
0,6,Alloy,95657,175,-214,-296,178,15942
0,2,Alloy,47662,-232,-290,-251,-268,23831
1,7,Covers,70214,-110,-149,-119,-138,10030
1,3,NULL,89240,0,0,0,0,29746
1,3,Covers,89750,352,336,380,311,29916
0,3,Covers,45593,-177,-203,-191,-188,15197
0,2,Covers,50610,-159,-260,-172,-241,25305
0,2,Covers,55844,417,322,450,298,27922
0,4,Covers,62107,-71,-94,-77,-87,15526
0,2,Covers,58203,20,91,22,84,29101
0,2,Covers,65711,-179,-129,-193,-119,32855
0,4,Alloy,88353,-113,-87,-122,-81,22088
0,3,Alloy,77678,829,437,60,1106,25892
0,3,Covers,62212,378,571,409,528,20737
0,3,Alloy,76302,-59,-122,-64,-113,25434
1,5,NULL,73731,9,50,9,46,14746
1,5,Covers,91888,-4,6,-4,5,18377
1,6,Covers,46237,-66,-90,-72,-83,7706
0,4,Alloy,68820,375,556,405,515,17205
0,3,Alloy,59634,201,-825,-727,193,19878
0,5,Covers,70425,11,33,12,31,14085
0,3,Covers,63761,-128,-126,-138,-117,21253
1,6,NULL,88176,-5,-17,-6,-15,14696
1,7,Covers,75513,8,-16,8,-15,10787
0,3,Covers,61126,78,173,84,160,20375
0,7,Covers,74134,-16,-3,-18,-3,10590
1,6,Alloy,70788,17,-28,18,-26,11798
0,5,Alloy,62838,-399,-600,-431,-555,12567
0,4,Covers,75635,0,17,0,16,18908
0,5,Alloy,97016,-23,-83,-25,-77,19403
0,2,Alloy,69971,-205,-211,-222,-195,34985
0,2,Covers,63029,756,1012,816,937,31514
0,4,Alloy,80706,465,-354,-529,458,20176
0,3,Alloy,49794,-155,-267,-168,-247,16598
0,4,Covers,79435,119,123,128,114,19858
0,4,Covers,56676,-22,6,-24,6,14169
1,5,NULL,68387,0,0,0,0,13677
0,5,Covers,56092,93,-392,-411,92,11218
0,8,Alloy,88072,7,16,8,15,11009
1,3,Covers,51215,-76,-66,-82,-61,17071
1,4,NULL,74080,0,0,0,0,18520
0,5,Alloy,54558,470,648,507,600,10911
1,2,NULL,72035,0,0,0,0,36017
1,3,Covers,60059,-81,-92,-88,-85,20019
0,5,Covers,55986,13,46,14,42,11197
1,2,Alloy,66578,29,-29,32,-27,33289
1,5,Covers,81862,48,55,52,51,16372
1,5,Covers,73693,34,71,37,66,14738
0,4,Covers,54522,81,157,88,145,13630
1,4,NULL,77456,0,0,0,0,19364
1,4,Covers,54290,150,253,162,234,13572
0,6,Alloy,78508,166,140,180,130,13084
0,2,Covers,63709,-97,-271,-105,-251,31854
0,3,Covers,73383,-62,-170,-67,-157,24461
1,6,NULL,54069,0,0,0,0,9011
0,6,Covers,90643,-53,-96,-58,-89,15107
1,6,NULL,69407,0,0,0,0,11567
0,6,Alloy,78106,18,-395,-378,41,13017
0,8,Alloy,44717,-11,-8,-12,-8,5589
0,4,Alloy,64056,281,200,303,185,16014
0,8,Alloy,78278,-5,0,-5,0,9784
0,5,Alloy,87873,195,-473,-468,250,17574
1,6,NULL,91830,0,0,0,0,15305
0,5,Alloy,86858,218,-193,-252,285,17371
0,3,Alloy,78859,213,-570,-615,397,26286
0,4,Covers,78832,0,0,0,0,19708
0,3,Covers,57583,119,183,128,169,19194
0,5,Alloy,64436,316,-124,-242,379,12887
0,6,Alloy,66212,110,163,119,151,11035
0,5,Covers,78616,20,-456,-390,27,15723
0,3,Alloy,53786,626,-323,-404,650,17928
1,6,NULL,92877,0,0,0,0,15479
0,2,Alloy,86812,250,308,270,285,43406
1,6,NULL,82382,0,0,0,0,13730
0,4,Alloy,63756,92,-310,-466,238,15939
1,2,Covers,72668,0,0,0,0,36334
0,5,Covers,78213,0,0,0,0,15642
0,5,Alloy,82989,-27,-82,-29,-76,16597
0,3,Covers,58897,194,-436,-695,409,19632
1,4,NULL,74844,0,0,0,0,18711
1,6,NULL,63732,0,0,0,0,10622
0,5,Alloy,73688,26,31,28,29,14737
0,2,Covers,72849,313,229,338,212,36424
0,6,Alloy,95776,204,231,220,213,15962
0,3,Alloy,74633,355,-285,-571,538,24877
0,2,Covers,53163,245,232,265,214,26581
0,5,Alloy,71809,-83,-721,-637,-49,14361
0,3,Alloy,60843,252,197,272,182,20281
1,6,NULL,39390,0,0,0,0,6565
0,5,Alloy,71105,8,-58,9,-54,14221
0,3,Covers,74014,299,-679,-570,384,24671
1,2,NULL,75611,0,0,0,0,37805
1,8,NULL,57000,0,0,0,0,7125
0,5,Covers,56290,20,13,21,12,11258
0,4,Covers,66594,27,51,29,47,16648
1,3,NULL,70224,0,0,0,0,23408
0,3,Covers,49930,-165,-1316,-1071,-167,16643
1,6,NULL,80589,0,0,0,0,13431
1,3,NULL,57433,0,0,0,0,19144
0,4,Alloy,61856,270,-436,-635,476,15464
0,2,Covers,65615,341,-605,-974,395,32807
0,4,Covers,83624,234,591,362,354,20906
0,4,Alloy,81651,14,39,54,-46,20412
0,3,Covers,72232,219,109,124,229,24077
0,7,Covers,41852,66,59,141,7,5978
1,4,Alloy,60770,3,5,73,-126,15192
0,5,Alloy,78416,42,213,114,38,15683
0,3,Covers,78619,76,159,98,60,26206
0,4,Covers,86182,-17,32,-27,-10,21545
0,3,Alloy,83610,-11,-111,94,-33,27870
1,4,Alloy,81352,-58,-81,-6,-77,20338
0,2,Covers,56289,74,-150,-209,100,28144
1,4,NULL,67234,0,0,0,0,16808
0,6,Covers,74614,45,130,113,28,12435
0,3,Covers,67407,209,63,65,223,22469
1,7,NULL,88193,0,0,0,0,12599
